id,filename,class,source_name,source_page_url,direct_source_url,license,author,original_filename,width,height,sha256,phash,selection_reason,notes
uniform_001,01_uniform_finish/uniform_001.jpg,01_uniform_finish,roboflow:hashtee/paint_defect,https://universe.roboflow.com/hashtee/paint_defect/images/0PN37MK7dKWqOKb8QtDA,https://source.roboflow.com/xNvFxyh7KISAsuMLNebxWgbB8A12/0PN37MK7dKWqOKb8QtDA/original.jpg,CC BY 4.0,Hashtee,20250702_194541_mp4-0012.jpg,1440,1440,6bc93782563487f130abdc7b60a191a0dcc730cf8188152e5dd1cf7484df9832,0000000000000000000000000000000000000000000000010000000100000000,"even beige coating, cornice; wall fills frame",
uniform_002,01_uniform_finish/uniform_002.jpg,01_uniform_finish,"openverse:flickr (CC BY 2.0, individually verified)",https://www.flickr.com/photos/9822107@N08/2510895117,https://live.staticflickr.com/3068/2510895117_85ba274db1_b.jpg,CC BY 2.0,shaire productions,White Stucco Wall (Flickr 2510895117),1024,768,3c0eafeae6f0d620cb1947420cc46f638f1bac0983dd177666d43b848c48e039,0001010100011101000110110010011000010101000010010010001001001101,even white stucco; fills frame (white/light pick),
uniform_003,01_uniform_finish/uniform_003.jpg,01_uniform_finish,"openverse:flickr (CC BY 2.0, individually verified)",https://www.flickr.com/photos/9822107@N08/4885278999,https://live.staticflickr.com/4138/4885278999_2b0cf31c19_b.jpg,CC BY 2.0,shaire productions,Red Painted Brick Wall (Flickr 4885278999),1024,768,567866414ab90d13aa0684a32e04fcf4efc694f974e33062e7a110676d1a5728,0000011101001000110100110010001101011100000101100101011100010100,even red painted brick; fills frame (colored pick),minor weathering variation; reasonably consistent coat
uniform_004,01_uniform_finish/uniform_004.jpg,01_uniform_finish,wikimedia:Category:white_walls,https://commons.wikimedia.org/?curid=163533357,https://upload.wikimedia.org/wikipedia/commons/3/35/Beilstein_-_Fohlenberg_-_S%C3%BCdosthang_-_Fohlenbergweg_-_Weinbergh%C3%A4uschen_-_Rauputz_%28RQCD1033%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,Roman Eisele,Beilstein - Fohlenberg - Südosthang - Fohlenbergweg - Weinberghäuschen - Rauputz (RQCD1033).jpg,8107,6201,fa4b4f021fb855d0020fe74ca24f6a6601814297e3fc8e3d209fd81ead911229,1110011011110101001001001011001100101011110110110011001001011011,uniform white stucco texture close-up,
uniform_005,01_uniform_finish/uniform_005.jpg,01_uniform_finish,wikimedia:Category:white_walls,https://commons.wikimedia.org/?curid=170705338,https://upload.wikimedia.org/wikipedia/commons/6/62/Beilstein_-_Wohngebiet_Ost_-_H%C3%B6hbergstra%C3%9Fe_-_Balkonschatten_diagonal_%28RQCD4797%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,Roman Eisele,Beilstein - Wohngebiet Ost - Höhbergstraße - Balkonschatten diagonal (RQCD4797).jpg,6336,9121,f92e8821e893a66449e2ec2a53f47529350b9579dbf17a3e58faee2afac77c15,0110000000010010000001100000001011000001110000000010100010010100,uniform gray stucco texture close-up,
uniform_006,01_uniform_finish/uniform_006.jpg,01_uniform_finish,wikimedia:Category:white_walls,https://commons.wikimedia.org/?curid=29969294,https://upload.wikimedia.org/wikipedia/commons/8/8b/Contacto_Water_Protection.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 3.0,Oswaldoavs,Contacto Water Protection.jpg,2048,1536,5d41ed8f620175a646ed0a004a31805191df43e7513e7e4be094aca8ef516fc2,0000010100010000010100100000000001000000000000000000000010000000,even gray wall; small wall fixture only,
uniform_007,01_uniform_finish/uniform_007.jpg,01_uniform_finish,wikimedia:Category:white_walls,https://commons.wikimedia.org/?curid=102568541,https://upload.wikimedia.org/wikipedia/commons/6/60/Arcos_de_la_Frontera_%281981%29_11.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,LBM1948,Arcos de la Frontera (1981) 11.jpg,707,1059,1647371ddfe9017f64222cb42a714db131927fb069421d9e99bc8a8629830568,0000111111010000110100000000001110000011100001111000011110001111,even white wall fills frame; small wall sign top-left,
uniform_008,01_uniform_finish/uniform_008.jpg,01_uniform_finish,wikimedia:Category:painted_walls,https://commons.wikimedia.org/?curid=79681754,https://upload.wikimedia.org/wikipedia/commons/3/32/D%C3%BClmen%2C_Kirchspiel%2C_ehem._Sondermunitionslager_Visbeck%2C_Mannschaftsunterkunft_der_US_Army_--_2019_--_6473.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,Dietmar Rabich,"Dülmen, Kirchspiel, ehem. Sondermunitionslager Visbeck, Mannschaftsunterkunft der US Army -- 2019 -- 6473.jpg",6600,4400,a4671d2391d2510b4806a1c243d7f36c342146322d7e34fa6eab1045787d5dc6,1101010010010110100101101001011010010110110011001101010010010110,"bare white room, even coating; small high windows",
uniform_009,01_uniform_finish/uniform_009.jpg,01_uniform_finish,wikimedia:Category:painted_walls,https://commons.wikimedia.org/?curid=112525522,https://upload.wikimedia.org/wikipedia/commons/e/e9/C%C3%B3rdoba%2C_fachadas_1990_06.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,LBM1948,"Córdoba, fachadas 1990 06.jpg",1071,710,9986b391a1554adbcf24313935c97068cad32aaa3066b92a67d56b6a1907db7f,0010111100101011001010110010101100111011001110110011101100011011,even terracotta paint; wall pipes are minor fixtures,
uniform_010,01_uniform_finish/uniform_010.jpg,01_uniform_finish,wikimedia:Category:white_walls,https://commons.wikimedia.org/?curid=20394029,https://upload.wikimedia.org/wikipedia/commons/b/bb/2012-07-19_-_Landtagsprojekt_M%C3%BCnchen_-_Palais_Leuchtenberg_-_8345.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 3.0 de,"Sven Teschke, Büdingen",2012-07-19 - Landtagsprojekt München - Palais Leuchtenberg - 8345.jpg,3110,2073,ec9b77ee984b22aea65ada019fa8508f969352724db37d6856012d737c4d36f1,0100011001000100011001000101000101010010010100100101000001110000,even pale-yellow corridor walls; no people/furniture,
